Date,Open,High,Low,Close,Volume
2012-05-17,132.86000061035156,133.02000427246094,130.7899932861328,130.86000061035156,247992900.0
2012-05-18,131.3699951171875,131.60000610351562,129.5500030517578,129.74000549316406,319615900.0
2012-05-21,130.16000366210938,132.02000427246094,129.9499969482422,131.97000122070312,177861100.0
2012-05-22,132.30999755859375,133.22999572753906,131.33999633789062,132.1999969482422,197531200.0
2012-05-23,131.25,132.4600067138672,129.99000549316406,132.27000427246094,204958400.0
2012-05-24,132.6300048828125,132.83999633789062,131.4199981689453,132.52999877929688,167357600.0
2012-05-25,132.47999572753906,132.85000610351562,131.77999877929688,132.10000610351562,135465600.0
2012-05-29,133.16000366210938,133.92999267578125,131.1699981689453,133.6999969482422,152883500.0
2012-05-30,132.55999755859375,133.69000244140625,131.49000549316406,131.75999450683594,162370400.0
2012-05-31,131.7100067138672,132.4499969482422,130.33999633789062,131.47000122070312,196186000.0
2012-06-01,129.41000366210938,131.5,128.16000366210938,128.16000366210938,253240900.0
2012-06-04,128.38999938964844,128.74000549316406,127.13999938964844,128.10000610351562,202545800.0
2012-06-05,127.8499984741211,129.25999450683594,127.77999877929688,129.07000732421875,164149400.0
2012-06-06,129.97000122070312,132.02999877929688,129.92999267578125,131.97000122070312,184202800.0
2012-06-07,133.47000122070312,133.52999877929688,131.77999877929688,132.0500030517578,184772700.0
2012-06-08,131.7100067138672,133.1300048828125,131.2899932861328,133.10000610351562,143915400.0
2012-06-11,134.1699981689453,134.25,131.27999877929688,131.41000366210938,169756100.0
2012-06-12,131.7899932861328,133.00999450683594,131.16000366210938,132.9199981689453,181931800.0
2012-06-13,132.52999877929688,133.36000061035156,131.6199951171875,132.07000732421875,172223900.0
2012-06-14,132.33999633789062,134.0,131.97999572753906,133.47000122070312,230615500.0
2012-06-15,133.3800048828125,134.25999450683594,133.10000610351562,134.13999938964844,169444500.0
2012-06-18,133.5800018310547,134.72999572753906,133.27999877929688,134.39999389648438,131360900.0
2012-06-19,135.0800018310547,136.25,134.3699951171875,135.6999969482422,137382600.0
2012-06-20,135.7100067138672,136.10000610351562,134.27000427246094,135.47999572753906,206451800.0
2012-06-21,135.63999938964844,135.77999877929688,132.3300018310547,132.44000244140625,205272200.0
2012-06-22,133.1300048828125,133.7100067138672,132.6199951171875,133.4600067138672,130029200.0
2012-06-25,132.0500030517578,132.10000610351562,130.85000610351562,131.32000732421875,146375700.0
2012-06-26,131.6999969482422,132.3800048828125,130.92999267578125,131.97999572753906,141634000.0
2012-06-27,132.4199981689453,133.42999267578125,131.97000122070312,133.1699981689453,108088000.0
2012-06-28,132.2899932861328,132.99000549316406,131.27999877929688,132.7899932861328,169242100.0
2012-06-29,135.1999969482422,136.27000427246094,134.85000610351562,136.10000610351562,212250900.0
2012-07-02,136.47999572753906,136.64999389648438,135.52000427246094,136.50999450683594,129524500.0
2012-07-03,136.47999572753906,137.50999450683594,136.33999633789062,137.41000366210938,80450000.0
2012-07-05,136.89999389648438,137.8000030517578,136.2899932861328,136.7899932861328,126177500.0
2012-07-06,135.47000122070312,135.77000427246094,134.85000610351562,135.49000549316406,151192100.0
2012-07-09,135.3800048828125,135.57000732421875,134.6999969482422,135.32000732421875,103780500.0
2012-07-10,136.00999450683594,136.22999572753906,133.67999267578125,134.13999938964844,167884800.0
2012-07-11,134.2100067138672,134.60000610351562,133.3800048828125,134.16000366210938,141733400.0
2012-07-12,133.3800048828125,134.22999572753906,132.60000610351562,133.50999450683594,143583200.0
2012-07-13,133.86000061035156,135.88999938964844,133.83999633789062,135.75,129642600.0
2012-07-16,135.44000244140625,135.8300018310547,134.89999389648438,135.42999267578125,97525200.0
2012-07-17,135.97000122070312,136.63999938964844,134.5500030517578,136.36000061035156,138860300.0
